bikeid,tripduration_mins_sum
211,42.1
218,502.74
277,536.91
304,181.87
388,261.75
507,51.71
545,15.07
785,411.82
984,116.99
1072,45.43
1254,407.02
1569,12.88
1843,161.91
2009,523.17
2011,1969.01
2012,787.65
2014,997.27
2016,247.51
2017,828.55
2018,655.89
2020,544.57
2021,18.17
2022,435.73
2023,476.13
2025,650.8
2026,708.15
2027,373.39
2028,251.6
2029,189.63
2030,779.35
2032,562.75
2033,605.7
2034,701.6
2036,533.3
2037,609.54
2038,15
2040,167.11
2043,655.24
2045,636.31
2048,227.7
2049,571.95
2050,586.06
2052,465.44
2053,43.87
2054,23.72
2056,847.91
2057,838.29
2058,642.39
2060,630.27
2061,502.3
2062,430.94
2064,348.7
2065,174.68
2066,704.35
2067,380.97
2070,1484.72
2071,882.65
2073,515.13
2074,662.21
2076,97.49
2078,532.75
2081,974.65
2082,457.44
2084,671.62
2086,424.76
2087,490.24
2088,581.11
2089,4739.81
2092,9.48
2093,640.76
2094,484.28
2097,368.03
2099,675.48
2102,116.83
2103,476.85
2105,304.65
2106,705.93
2107,368.89
2109,883.74
2113,835.14
2116,613.97
2117,433.63
2118,360.33
2119,100.14
2122,788.85
2124,112.64
2126,1228.67
2127,556.02
2129,6133.89
2130,864.45
2134,542.57
2135,294.27
2137,284.21
2140,682.29
2141,680.91
2142,658.57
2145,621.42
2146,751.19
2147,934.5
2148,465.18
2149,1789.59
2150,407.03
2151,458.07
2152,733.19
2153,645.85
2155,400.69
2157,97.93
2159,930.18
2161,786.58
2162,380.64
2163,556.94
2165,280.7
2166,451.47
2168,797.4
2170,927.82
2172,862.39
2176,69.97
2178,383.68
2181,587.65
2183,542.97
2184,535.62
2185,543.08
2186,3438.98
2187,1080.84
2189,845.82
2190,72.25
2191,310.7
2193,688.51
2195,662.73
2196,639.57
2197,502.22
2201,392.91
2202,513.57
2203,471.19
2204,748.6
2205,15.94
2209,586.2
2210,265.04
2211,5.02
2212,755.43
2214,710.82
2216,645.15
2217,344.46
2219,577.8
2220,691.89
2221,542.4
2223,627.79
2225,855.62
2226,686.04
2227,388.54
2228,547.37
2229,380.06
2231,497.29
2232,1884.14
2233,51.91
2234,93.77
2235,815.27
2236,924.09
2239,728.79
2240,747.1
2243,276.66
2247,450.15
2248,533.5
2250,511.73
2251,543.39
2252,781.14
